movie,scene,starttime,endtime,startsec_adj,endsec_adj,startTR,endTR,text
1,19,22:28,22:34,1268.127,1274.127,846,849,And they're kind of conversing a while with the curtains pulled around Frank.
1,20,22:34,22:39,1274.127,1279.127,850,853,"And then the next time they check behind the curtains, he’s gone."
1,21,22:41,22:57,1281.127,1297.127,855,865,"And then the next scene we see is like Frank who is like coughing, still like coughing his lungs out, running very slowly, kind of stumbling through, trying to escape, going through like the prison with all of the other prisoners yelling like, “Frank, Frank, Frank."""
1,21,22:57,23:00,1297.127,1300.127,866,867,"And he's like stumbling, trying to get away."
1,23,23:01,23:10,1301.127,1310.127,868,873,"But then all of the, the other policeman and the detective or whoever, they are coming up behind him, obviously gonna catch up with him."
1,23,23:11,23:17,1311.127,1317.127,875,878,"But he's still trying to get away, and then he like drops down to the floor and tries to crawl away really slowly."
1,"24, 25",23:18,23:21,1318.127,1321.127,880,881,"But eventually they get to him, and he falls backward."
1,-1,23:22,23:25,1322.127,1325.127,882,883,"I don’t remember anything after that, so I think it must’ve ended then."
-1,-1,23:27,23:27,1327.127,1327.127,886,886,Ok.
2,2000,23:29,23:32,1329.127,1332.127,887,888,"The next one, I think it was The Record."
2,28,23:32,23:41,1332.127,1341.127,889,894,"So it starts with this, this was a cartoon, and starts with like this redheaded girl who’s in her little like apartment, "
2,"28, 29",23:42,23:49,1342.127,1349.127,896,899,"and she has a box of pizza, and she opens it, and she gets out a slice, and then she’s gonna start to eat, but she gets some mail."
2,"30, 31",23:50,23:59,1350.127,1359.127,901,906,"And so she goes to her door, and opens the door and gets her mail out, then sits back on her seat and pulls out a record."
2,32,23:59,24:05,1359.127,1365.127,907,910,"It’s called A Single Life, and she puts the record on the record player and starts to play it."
2,33,24:06,24:10,1366.127,1370.127,912,913,"And then she's listening, she’s listening, and it kind of skips a little bit to a different song."
2,34,24:10,24:15,1370.127,1375.127,914,917,"And she notices that when it does that, her pizza kind of like disappears."
2,34,24:15,24:20,1375.127,1380.127,918,920,"Well it doesn’t disappear, but the slice in her hand goes down to like close to the crust."
2,35,24:21,24:26,1381.127,1386.127,922,924,"And then when she adjusts the, like the needle on the record player, it kind of grows back."
2,35,24:26,24:35,1386.127,1395.127,925,930,"And so she messes around with this for a bit, and she notices that she could make the bit of the pizza go up and then disappear again and come back up and disappear again."
2,35,24:35,24:47,1395.127,1407.127,931,938,"And so she starts messing around with the record player a bit more, and notices that she could make the entire pizza including like the bit in the box disappear and then come back, and disappear and then come back."
2,35,24:47,24:50,1407.127,1410.127,939,940,So she skips around a little bit more.
2,36,24:51,24:56,1411.127,1416.127,942,944,"And then suddenly when she skips, she’s now in a completely different apartment."
2,36,24:56,25:03,1416.127,1423.127,945,949,"It’s like fancier and like all sleek and posh, and she's like well dressed, and she has a baby."
2,36,25:03,25:07,1423.127,1427.127,950,951,"Well, I mean, she’s pregnant, she doesn’t have a baby, but she's pregnant."
